name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
A1139           164.612     1.594   3.9   435     0.20    5.6     0.24   0.07 	 2.1   0.0397  	  4.2  	 0.29  	(10)
A1173           167.325    41.569   1.6   429     0.25    4.6     0.28   0.07 	 3.3   0.0770  	  3.8  	 0.98  	(12)
Z3916           168.596    58.387   0.7   586     0.29    4.5     0.31   0.06 	 7.0   0.2060  	  3.6  	 6.41  	 (5)
Z3959           168.972     1.510   4.2   442     0.13    3.1     0.16   0.05 	10.2   0.3518  	  2.9  	14.87  	 (7)
A1264           171.753    17.126   2.0   443     0.19    3.8     0.21   0.06 	 4.4   0.1267  	  3.1  	 2.11  	(20)
A1291           173.088    55.979   0.9   403     0.28    5.0     0.32   0.08 	 2.4   0.0527  	  3.7  	 0.44  	(23)
A1412           178.995    73.410   2.3   760     0.19    4.4     0.23   0.05 	 3.3   0.0833  	  3.5  	 1.03  	 (9)
Z4673           179.218    24.248   1.8   471     0.23    4.9     0.26   0.06 	 5.2   0.1419  	  3.7  	 3.20  	 (1)
A1443           180.321    23.105   2.1   463     0.19    3.7     0.21   0.06 	 8.5   0.2700  	  3.3  	 9.87  	 (7)
A1446           180.516    58.041   1.4   488     0.18    4.3     0.22   0.06 	 3.7   0.1031  	  2.9  	 1.30  	(11)
A1576           189.237    63.188   1.7   540     0.18    4.2     0.20   0.05 	 8.9   0.3020  	  2.9  	10.96  	 (8)
A1602           190.868    27.286   1.2   482     0.20    4.1     0.23   0.06 	 6.3   0.1997  	  2.9  	 4.96  	 (7)
A1672           196.085    33.601   1.0   523     0.23    4.1     0.26   0.06 	 6.3   0.1882  	  3.3  	 4.90  	 (1)
Z5699           196.507    26.505   0.9   502     0.24    4.5     0.28   0.07 	 9.8   0.3063  	  3.5  	13.59  	 (7)
A1691           197.771    39.222   1.2   585     0.27    4.8     0.32   0.06 	 3.1   0.0720  	  4.0  	 0.89  	 (9)
Z5768           197.884    22.009   1.8   723     0.22    5.4     0.27   0.06 	 9.1   0.2660  	  4.0  	11.64  	 (7)
A1704           198.591    64.575   1.8   607     0.24    4.0     0.26   0.06 	 7.7   0.2200  	  3.9  	 7.83  	 (8)
A1722           199.997    70.073   1.5   736     0.23    4.7     0.26   0.05 	10.5   0.3275  	  3.7  	16.14  	 (8)
A1728           200.876    11.296   1.8   311     0.22    3.7     0.25   0.08 	 3.6   0.0911  	  3.6  	 1.29  	 (7)
A1744           201.453    59.330   1.6   741     0.21    4.4     0.24   0.05 	 5.3   0.1515  	  3.3  	 3.24  	(11)
