name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
A566            106.093    63.275   5.6   356     0.49    9.5     0.59   0.11 	 6.1e  0.0980  	 11.6  	 4.73  	(42)
Z1261           109.154    53.388   6.4   353     0.17    5.5     0.22   0.07 	 2.8   0.0644  	  4.5  	 0.81  	(16)
A576            110.382    55.764   5.4   278     0.98   10.3     1.15   0.18 	 3.7   0.0381  	 22.4  	 1.39  	(47)
A586            113.093    31.634   5.4   455     0.42    6.2     0.46   0.09 	 8.7e  0.1710  	  9.1  	11.12  	(37)
UGC_03957       115.239    55.437   4.7   402     0.90    8.7     1.00   0.14 	 3.2e  0.0341  	 18.6  	 0.93  	(28)
RXJ0751.3+5012  117.842    50.211   5.0   456     0.45   10.4     0.55   0.10 	 1.8e  0.0220  	 10.1  	 0.21  	(12)
A602            118.351    29.366   4.3   436     0.32    6.4     0.38   0.08 	 3.4e  0.0621  	  6.9  	 1.14  	(19)
Z1478           119.919    53.999   4.0   445     0.24    6.3     0.29   0.07 	 4.6e  0.1038  	  5.2  	 2.38  	(17)
RXJ0819.6+6336  124.913    63.610   4.1   442     0.22    5.5     0.26   0.07 	 5.0e  0.1190  	  4.7  	 2.83  	(11)
A646            125.547    47.100   4.0   406     0.34    4.7     0.35   0.08 	 6.0e  0.1303  	  6.3  	 4.54  	(37)
Z1665           125.798     4.356   3.1   242     0.45    7.4     0.59   0.15 	 2.2e  0.0293  	  9.6  	 0.36  	(17)
A655            126.361    47.132   4.0   332     0.44    8.1     0.55   0.12 	 7.1e  0.1267  	  9.9  	 6.73  	(42)
A667            127.019    44.764   4.0   431     0.26    4.9     0.29   0.07 	 6.1e  0.1450  	  5.1  	 4.59  	(10)
A671            127.170    30.432   3.8   409     0.39    7.5     0.47   0.10 	 3.1e  0.0503  	  8.2  	 0.90  	(20)
A665            127.739    65.854   4.2   456     0.57    6.3     0.64   0.10 	 8.3   0.1818  	 11.8  	16.33  	(29)
A689            129.356    14.983   3.7   317     0.51    5.3     0.53   0.11 	13.5e  0.2793  	  9.5  	30.41  	(17)
A697            130.741    36.365   3.4   261     0.26    4.3     0.29   0.09 	10.5e  0.2820  	  5.0  	16.30  	(10)
Z1953           132.542    36.086   3.1   362     0.29    8.0     0.35   0.09 	14.5e  0.3737  	  6.1  	34.12  	(17)
